year	teamID	finalTeamID	teamName
1988	MIL	MIL	Milwaukee Bucks
1988	NJN	NJN	New Jersey Nets
1988	NYK	NYK	New York Knicks
1988	PHI	PHI	Philadelphia 76ers
1988	PHO	PHO	Phoenix Suns
1988	POR	POR	Portland Trail Blazers
1988	SAC	SAC	Sacramento Kings
1988	SAS	SAS	San Antonio Spurs
1988	SEA	OKC	Seattle SuperSonics
1988	UTA	UTA	Utah Jazz
1988	WSB	WAS	Washington Bullets
1989	ATL	ATL	Atlanta Hawks
1989	BOS	BOS	Boston Celtics
1989	CHH	CHA	Charlotte Hornets
1989	CHI	CHI	Chicago Bulls
1989	CLE	CLE	Cleveland Cavaliers
1989	DAL	DAL	Dallas Mavericks
1989	DEN	DEN	Denver Nuggets
1989	DET	DET	Detroit Pistons
1989	GSW	GSW	Golden State Warriors
1989	HOU	HOU	Houston Rockets
1989	IND	IND	Indiana Pacers
1989	LAC	LAC	Los Angeles Clippers
1989	LAL	LAL	Los Angeles Lakers
1989	MIA	MIA	Miami Heat
1989	MIL	MIL	Milwaukee Bucks
1989	NJN	NJN	New Jersey Nets
1989	NYK	NYK	New York Knicks
1989	PHI	PHI	Philadelphia 76ers
1989	PHO	PHO	Phoenix Suns
1989	POR	POR	Portland Trail Blazers
1989	SAC	SAC	Sacramento Kings
1989	SAS	SAS	San Antonio Spurs
1989	SEA	OKC	Seattle SuperSonics
1989	UTA	UTA	Utah Jazz
1989	WSB	WAS	Washington Bullets
1990	ATL	ATL	Atlanta Hawks
1990	BOS	BOS	Boston Celtics
1990	CHH	CHA	Charlotte Hornets
1990	CHI	CHI	Chicago Bulls
1990	CLE	CLE	Cleveland Cavaliers
1990	DAL	DAL	Dallas Mavericks
1990	DEN	DEN	Denver Nuggets
1990	DET	DET	Detroit Pistons
1990	GSW	GSW	Golden State Warriors
1990	HOU	HOU	Houston Rockets
1990	IND	IND	Indiana Pacers
1990	LAC	LAC	Los Angeles Clippers
1990	LAL	LAL	Los Angeles Lakers
1990	MIA	MIA	Miami Heat
1990	MIL	MIL	Milwaukee Bucks
1990	MIN	MIN	Minnesota Timberwolves
1990	NJN	NJN	New Jersey Nets
1990	NYK	NYK	New York Knicks
1990	ORL	ORL	Orlando Magic
1990	PHI	PHI	Philadelphia 76ers
1990	PHO	PHO	Phoenix Suns
1990	POR	POR	Portland Trail Blazers
1990	SAC	SAC	Sacramento Kings
1990	SAS	SAS	San Antonio Spurs
1990	SEA	OKC	Seattle SuperSonics
1990	UTA	UTA	Utah Jazz
1990	WSB	WAS	Washington Bullets
1991	ATL	ATL	Atlanta Hawks
1991	BOS	BOS	Boston Celtics
1991	CHH	CHA	Charlotte Hornets
1991	CHI	CHI	Chicago Bulls
1991	CLE	CLE	Cleveland Cavaliers
1991	DAL	DAL	Dallas Mavericks
1991	DEN	DEN	Denver Nuggets
1991	DET	DET	Detroit Pistons
1991	GSW	GSW	Golden State Warriors
1991	HOU	HOU	Houston Rockets
1991	IND	IND	Indiana Pacers
1991	LAC	LAC	Los Angeles Clippers
1991	LAL	LAL	Los Angeles Lakers
1991	MIA	MIA	Miami Heat
1991	MIL	MIL	Milwaukee Bucks
1991	MIN	MIN	Minnesota Timberwolves
1991	NJN	NJN	New Jersey Nets
1991	NYK	NYK	New York Knicks
1991	ORL	ORL	Orlando Magic
1991	PHI	PHI	Philadelphia 76ers
1991	PHO	PHO	Phoenix Suns
1991	POR	POR	Portland Trail Blazers
1991	SAC	SAC	Sacramento Kings
1991	SAS	SAS	San Antonio Spurs
1991	SEA	OKC	Seattle SuperSonics
1991	UTA	UTA	Utah Jazz
1991	WSB	WAS	Washington Bullets
1992	ATL	ATL	Atlanta Hawks
1992	BOS	BOS	Boston Celtics
1992	CHH	CHA	Charlotte Hornets
1992	CHI	CHI	Chicago Bulls
1992	CLE	CLE	Cleveland Cavaliers
1992	DAL	DAL	Dallas Mavericks
1992	DEN	DEN	Denver Nuggets
1992	DET	DET	Detroit Pistons
1992	GSW	GSW	Golden State Warriors
1992	HOU	HOU	Houston Rockets
1992	IND	IND	Indiana Pacers
1992	LAC	LAC	Los Angeles Clippers
1992	LAL	LAL	Los Angeles Lakers
1992	MIA	MIA	Miami Heat
1992	MIL	MIL	Milwaukee Bucks
